rehearse	リハーサルをする、暗唱（復唱）する
decent	"礼儀正しい、立派な、かなりの<div>decencyで礼儀、親切さ、礼儀正しさ</div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/It%27s"">It's</a>&nbsp;<a href=""https://ejje.weblio.jp/content/not"">not</a>&nbsp;decent&nbsp;<a href=""https://ejje.weblio.jp/content/to"">to</a>&nbsp;<a href=""https://ejje.weblio.jp/content/laugh+at"">laugh at</a>&nbsp;a funeral.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E8%91%AC%E5%BC%8F%E3%81%AE"">葬式の</a><a href=""https://ejje.weblio.jp/content/%E6%99%82%E3%81%AB"">時に</a><a href=""https://ejje.weblio.jp/content/%E7%AC%91%E3%81%86"">笑う</a>のは<a href=""https://ejje.weblio.jp/content/%E4%B8%8D%E4%BD%9C%E6%B3%95%E3%81%A7"">不作法で</a>ある.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">decent&nbsp;<a href=""https://ejje.weblio.jp/content/clothes"">clothes</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%81%8D%E3%81%A1%E3%82%93%E3%81%A8%E3%81%97%E3%81%9F%E6%9C%8D%E8%A3%85"">きちんとした服装</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/get"">get</a>&nbsp;decent&nbsp;<a href=""https://ejje.weblio.jp/content/marks"">marks</a>&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">(<a href=""https://ejje.weblio.jp/content/%E5%AD%A6%E6%A0%A1%E3%81%A7"">学校で</a>)<a href=""https://ejje.weblio.jp/content/%E3%81%8B%E3%81%AA%E3%82%8A%E3%81%84%E3%81%84"">かなりいい</a><a href=""https://ejje.weblio.jp/content/%E7%82%B9"">点</a><a href=""https://ejje.weblio.jp/content/%E3%82%92%E3%81%A8%E3%82%8B"">をとる</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/It%27s"">It's</a>&nbsp;<a href=""https://ejje.weblio.jp/content/awfully"">awfully</a>&nbsp;decent&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;you [<a href=""https://ejje.weblio.jp/content/You%27re"">You're</a>&nbsp;<a href=""https://ejje.weblio.jp/content/awfully"">awfully</a>&nbsp;decent]&nbsp;<a href=""https://ejje.weblio.jp/content/to+come+and+see"">to come and see</a>&nbsp;<a href=""https://ejje.weblio.jp/content/me"">me</a>&nbsp;<a href=""https://ejje.weblio.jp/content/off."">off.</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E8%A6%8B%E9%80%81%E3%82%8A"">見送り</a><a href=""https://ejje.weblio.jp/content/%E3%81%AB%E3%81%8A%E3%81%84"">におい</a>でい<a href=""https://ejje.weblio.jp/content/%E3%81%9F%E3%81%A0%E3%81%84"">ただい</a>て<a href=""https://ejje.weblio.jp/content/%E3%81%A9%E3%81%86%E3%82%82%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86%E3%81%94%E3%81%96%E3%81%84%E3%81%BE%E3%81%99"">どうもありがとうございます</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
fraud	詐欺、不正行為<div>fraudulentで不正な、詐欺的な、いかさまの</div>
ballot	"投票、投票用紙、投票する、くじで決める<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/cast+a"">cast a</a>&nbsp;ballot&nbsp;(for [<a href=""https://ejje.weblio.jp/content/against"">against</a>]…)&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">(<a href=""https://ejje.weblio.jp/content/%E2%80%A6%E3%81%AB"">…に</a><a href=""https://ejje.weblio.jp/content/%E8%B3%9B%E6%88%90"">賛成</a>[<a href=""https://ejje.weblio.jp/content/%E5%8F%8D%E5%AF%BE"">反対</a>])<a href=""https://ejje.weblio.jp/content/%E6%8A%95%E7%A5%A8%E3%81%99%E3%82%8B"">投票する</a>. (ballot for [against]...でもOK)</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/a+secret"">a secret</a>&nbsp;ballot</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%84%A1%E8%A8%98%E5%90%8D%E6%8A%95%E7%A5%A8"">無記名投票</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
carbohydrate	炭水化物
livestock	家畜
suspend	"（活動などを）一時中止する、保留する、（空中などに）つるす<div>suspensionで一時的中止</div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">Some&nbsp;<a href=""https://ejje.weblio.jp/content/chandeliers"">chandeliers</a>&nbsp;are&nbsp;<a href=""https://ejje.weblio.jp/content/suspended"">suspended</a>&nbsp;from the ceiling.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%82%B7%E3%83%A3%E3%83%B3%E3%83%87%E3%83%AA%E3%82%A2"">シャンデリア</a>が<a href=""https://ejje.weblio.jp/content/%E5%A4%A9%E4%BA%95"">天井</a>からつる<a href=""https://ejje.weblio.jp/content/%E3%81%95%E3%82%8C%E3%81%A6%E3%81%84%E3%82%8B"">されている</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">suspend&nbsp;<a href=""https://ejje.weblio.jp/content/judgment"">judgment</a>&nbsp;until&nbsp;<a href=""https://ejje.weblio.jp/content/the+facts"">the facts</a>&nbsp;are&nbsp;<a href=""https://ejje.weblio.jp/content/clear"">clear</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E4%BA%8B%E5%AE%9F"">事実</a>が<a href=""https://ejje.weblio.jp/content/%E6%98%8E%E7%A2%BA%E3%81%AB%E3%81%AA%E3%82%8B"">明確になる</a>まで<a href=""https://ejje.weblio.jp/content/%E5%88%A4%E6%96%AD"">判断</a>を<a href=""https://ejje.weblio.jp/content/%E4%BF%9D%E7%95%99%E3%81%99%E3%82%8B"">保留する</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;was&nbsp;<a href=""https://ejje.weblio.jp/content/suspended"">suspended</a>&nbsp;from&nbsp;<a href=""https://ejje.weblio.jp/content/school"">school</a>&nbsp;<a href=""https://ejje.weblio.jp/content/for+a"">for a</a>&nbsp;month.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a>&nbsp;<a href=""https://ejje.weblio.jp/content/1+%E3%81%8B%E6%9C%88"">1 か月</a>の<a href=""https://ejje.weblio.jp/content/%E5%81%9C%E5%AD%A6"">停学</a>を<a href=""https://ejje.weblio.jp/content/%E7%94%B3%E3%81%97"">申し</a><a href=""https://ejje.weblio.jp/content/%E6%B8%A1"">渡</a><a href=""https://ejje.weblio.jp/content/%E3%81%95%E3%82%8C%E3%81%9F"">された</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
weather	"風化させる、風雨にさらす、（嵐や困難などを）切り抜ける、外気で変化する、天候<div><img src=""paste-45b2f3738dddc094d171d1c6751a5ce1759c75ba.jpg""><br></div>"
urbane	"洗練された、都会風の、あか抜けした<div>urbane mannerで都会風</div><div><img src=""paste-8ee43be9a4f7bbb94c883461060728488d325f91.jpg""><br></div>"
streamlined	"流線型の、最新型の、能率化した<div><div><a href=""https://ejje.weblio.jp/content/short"">short</a>&nbsp;<b>streamlined</b>&nbsp;<a href=""https://ejje.weblio.jp/content/meetings"">meetings</a>&nbsp;短い合理化された会合</div></div><div><div>a&nbsp;<b>streamlined</b>&nbsp;<a href=""https://ejje.weblio.jp/content/hiring"">hiring</a>&nbsp;<a href=""https://ejje.weblio.jp/content/process"">process</a>&nbsp;合理化された雇用プロセス</div></div><div><div>a&nbsp;<b>streamlined</b>&nbsp;<a href=""https://ejje.weblio.jp/content/train"">train</a>&nbsp;流線型の列車</div></div>"
norm	"（社会の）標準的な状態、（行動様式の）規範、一般水準、標準、ノルマ<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/Working+women"">Working women</a>&nbsp;are the&nbsp;norm&nbsp;<a href=""https://ejje.weblio.jp/content/in+that"">in that</a>&nbsp;nation.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">その<a href=""https://ejje.weblio.jp/content/%E5%9B%BD"">国</a>では<a href=""https://ejje.weblio.jp/content/%E5%83%8D%E3%81%8F%E5%A5%B3%E6%80%A7"">働く女性</a>が<a href=""https://ejje.weblio.jp/content/%E6%A8%99%E6%BA%96"">標準</a>だ.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">the&nbsp;<a href=""https://ejje.weblio.jp/content/norms"">norms</a>&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;<a href=""https://ejje.weblio.jp/content/civilized+society"">civilized society</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%96%87%E6%98%8E%E7%A4%BE%E4%BC%9A"">文明社会</a>の<a href=""https://ejje.weblio.jp/content/%E8%A6%8F%E7%AF%84"">規範</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">above [<a href=""https://ejje.weblio.jp/content/below"">below</a>] the&nbsp;norm</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%A8%99%E6%BA%96"">標準</a><a href=""https://ejje.weblio.jp/content/%E4%BB%A5%E4%B8%8A"">以上</a>[<a href=""https://ejje.weblio.jp/content/%E4%BB%A5%E4%B8%8B"">以下</a>]で[の].</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
enclose	同封する、囲う<div>enclosureで封入物、囲い込み、囲い</div>
anxiety	心配、不安<div>anxiousで心配している、切望する</div>
sustain	"支える、（重さなどに）耐える、（生命や家族を）維持する<div>下から支えるイメージ</div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">sustain&nbsp;<a href=""https://ejje.weblio.jp/content/a+family"">a family</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%AE%B6%E3%81%AE"">家の</a><a href=""https://ejje.weblio.jp/content/%E7%94%9F%E8%A8%88%E3%82%92%E6%94%AF%E3%81%88%E3%82%8B"">生計を支える</a>,&nbsp;<a href=""https://ejje.weblio.jp/content/%E5%AE%B6%E6%97%8F"">家族</a>を<a href=""https://ejje.weblio.jp/content/%E6%89%B6%E9%A4%8A%E3%81%99%E3%82%8B"">扶養する</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">sustain&nbsp;<a href=""https://ejje.weblio.jp/content/one%27s"">one's</a>&nbsp;<a href=""https://ejje.weblio.jp/content/efforts"">efforts</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%8A%AA%E5%8A%9B%E3%82%92%E7%B6%9A%E3%81%91%E3%82%8B"">努力を続ける</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/Hope"">Hope</a>&nbsp;<a href=""https://ejje.weblio.jp/content/sustained"">sustained</a>&nbsp;<a href=""https://ejje.weblio.jp/content/us"">us</a>&nbsp;<a href=""https://ejje.weblio.jp/content/in"">in</a>&nbsp;our troubles.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%B8%8C%E6%9C%9B"">希望</a>が<a href=""https://ejje.weblio.jp/content/%E3%81%82%E3%81%A3%E3%81%9F"">あった</a>ので<a href=""https://ejje.weblio.jp/content/%E6%88%91%E3%80%85"">我々</a>は<a href=""https://ejje.weblio.jp/content/%E5%9B%B0%E9%9B%A3"">困難</a>にめげず<a href=""https://ejje.weblio.jp/content/%E3%81%AB%E3%81%8C%E3%82%93"">にがん</a><a href=""https://ejje.weblio.jp/content/%E3%81%B0%E3%81%A3%E3%81%9F"">ばった</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">The&nbsp;<a href=""https://ejje.weblio.jp/content/breakwater"">breakwater</a>&nbsp;<a href=""https://ejje.weblio.jp/content/sustains"">sustains</a>&nbsp;the&nbsp;<a href=""https://ejje.weblio.jp/content/shock"">shock</a>&nbsp;<a href=""https://ejje.weblio.jp/content/of+the"">of the</a>&nbsp;<a href=""https://ejje.weblio.jp/content/great"">great</a>&nbsp;waves.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">その<a href=""https://ejje.weblio.jp/content/%E9%98%B2%E6%B3%A2%E5%A0%A4"">防波堤</a>は<a href=""https://ejje.weblio.jp/content/%E5%A4%A7%E6%B3%A2"">大波</a>の<a href=""https://ejje.weblio.jp/content/%E8%A1%9D%E6%92%83"">衝撃</a>に<a href=""https://ejje.weblio.jp/content/%E8%80%90%E3%81%88%E3%81%A6"">耐えて</a>いる.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
edifice	"（宮殿や教会などの堂々とした）建物、体系 (<span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/add+to"">add to</a>&nbsp;the&nbsp;edifice&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;<a href=""https://ejje.weblio.jp/content/knowledge"">knowledge</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%9F%A5%E8%AD%98"">知識</a>の<a href=""https://ejje.weblio.jp/content/%E4%BD%93%E7%B3%BB"">体系</a>を<a href=""https://ejje.weblio.jp/content/%E6%8B%A1%E5%85%85%E3%81%99%E3%82%8B"">拡充する</a>.</span>)"
aviation	航空（学）、飛行
moss	（植物の）コケ
moth	蛾
infrared rays	赤外線<div>infraredで赤外線の</div>
courtesy	"特別の扱い、優遇、礼儀、優待の<div><img src=""paste-30181b72294bf7649b4df616c128d1532a06ae4f.jpg""><br></div>"
innumerbale	数えきれない、無数の
devote	捧げる、専心する<div>He devoted his holidays to finishing reports<br><div>devotionで献身、信念</div></div>
snail	カタツムリ、のろま
skeptical	疑い深い<div>skeptic懐疑論者、疑い深い人<br><div>We are skeptical of/about her statements</div></div>
comprehensive	"包括的な、理解力のある<div>incomprehensibleで理解できない、わかりにくい</div><div>inexplicableで説明のつかない、不可解な<br><div><img src=""paste-2ae67c4d8cefc7956f6abff3af413df032765db2.jpg""><br></div></div>"
lament	"悲しむ、悲嘆<div>He is lamenting the death of his best friend</div><div><img src=""paste-eaa500960186fbbf60d3cf4934e6d74abace6255.jpg""><br></div>"
conscious	"<div>気づいて、（苦痛などを）覚えて、意識的な</div><div><img src=""paste-5d0cc051c647276d6340bcfa9e04690e5237f337.jpg""><br></div>conscioursnessで意識"
candle	ろうそく
surgeon	外科医<div>surgeryで外科（手術）</div>
sled	そり、そりに乗る
contest	競う、競技（会）、競争<div>The birds are contesting that nesting site</div>
dignify	威厳をつける<div>try to dignify oneselfで威厳をつけようとする</div><div><div>dignityで尊厳</div></div>
recall	思い出す、思い出させる
sociology	社会学
testify	"証言する、証明する<div>testimonyで証言</div><div><img src=""paste-520031f62a999243d20c5c221ff4bd11eec9602b.jpg""><br></div>"
locomotion	運動（力）、移動（力）
ape	類人猿、（ゴリラなどおがないか非常に短い）猿<div>尾のある猿はmonkey</div>
allowance	手当、小遣い、値引き
alarm	"警報を伝える、警報、驚き<div>alarmの方がalertより危険なイメージ<br><div><img src=""paste-fab5dc1a5aa775c0df7064a66437705a91106df1.jpg""><br></div></div>"
summon	"<img src=""paste-8f51a7e5dbde91f44523175d74f994fc2876d799.jpg""><div><img src=""paste-c45982b315f192c3684cdb5f449fd74d4daaeee0.jpg""><br></div>"
advantageous	有利な、都合の良い
cavity	空洞、虫歯（の穴）
irony	"皮肉、風刺、反語<div>ironic/ironicalで皮肉な</div><div>sarcasmとsatireが同義語にあるが、sarcasmは人を傷つける意図があり、satireは社会制度や社会権威に対する風刺と言うイメージ</div><div><img src=""paste-e25201458fd98b111bc64dbb5f48a41e60b9ee26.jpg""><br></div>"
gratitude	"謝意<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/express"">express</a>&nbsp;<a href=""https://ejje.weblio.jp/content/one%27s"">one's</a>&nbsp;gratitude&nbsp;<a href=""https://ejje.weblio.jp/content/to+a"">to a</a>&nbsp;<a href=""https://ejje.weblio.jp/content/person"">person</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E4%BA%BA"">人</a>に<a href=""https://ejje.weblio.jp/content/%E6%84%9F%E8%AC%9D%E3%81%AE%E6%84%8F"">感謝の意</a>を<a href=""https://ejje.weblio.jp/content/%E8%A1%A8%E3%82%8F%E3%81%99"">表わす</a>.</span><br></div>"
deception	"詐欺、ごまかし、ペテン<div>deceitと同義　<br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/practice"">practice</a>&nbsp;deception&nbsp;<a href=""https://ejje.weblio.jp/content/on+a"">on a</a>&nbsp;<a href=""https://ejje.weblio.jp/content/person"">person</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/the+public"">the public</a>]</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E4%BA%BA"">人</a>[<a href=""https://ejje.weblio.jp/content/%E4%B8%96%E9%96%93"">世間</a>]<a href=""https://ejje.weblio.jp/content/%E3%82%92%E3%81%A0%E3%81%BE%E3%81%99"">をだます</a>.</span></div></div>"
genocide	集団虐殺
inherit	"相続する<div>inheritedで相続した、遺伝の</div><div>inheritanceで遺産、受け継いだもの</div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;<a href=""https://ejje.weblio.jp/content/inherited"">inherited</a>&nbsp;a&nbsp;<a href=""https://ejje.weblio.jp/content/large"">large</a>&nbsp;<a href=""https://ejje.weblio.jp/content/fortune"">fortune</a>&nbsp;from his father.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E7%88%B6"">父</a>から<a href=""https://ejje.weblio.jp/content/%E5%A4%9A%E9%A1%8D%E3%81%AE"">多額の</a><a href=""https://ejje.weblio.jp/content/%E8%B2%A1%E7%94%A3"">財産</a>を<a href=""https://ejje.weblio.jp/content/%E7%9B%B8%E7%B6%9A"">相続</a>した.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/an"">an</a>&nbsp;<a href=""https://ejje.weblio.jp/content/inherited+characteristic"">inherited characteristic</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/quality"">quality</a>]</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">【生物】&nbsp;<a href=""https://ejje.weblio.jp/content/%E9%81%BA%E4%BC%9D%E5%BD%A2%E8%B3%AA"">遺伝形質</a>[<a href=""https://ejje.weblio.jp/content/%E7%89%B9%E6%80%A7"">特性</a>].</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
